,Aptitude,Verbal,Label
0,32.82283304,43.40717306,0.0
1,64.13932042,78.13168802,0.0
2,72.44649423,96.32759297,0.0
3,60.55788574,73.1949981,0.0
4,58.94095622,75.95844831,0.0
5,99.9278578,72.46925193,1.0
6,47.36426911,88.575865,0.0
7,50.5581598,75.90985953,0.0
8,60.55555629,42.60840944,0.0
9,82.32666158,42.81987854,1.0
10,89.01389642,69.9037889,1.0
11,94.93450672,45.7943068,1.0
12,67.41925747,66.68935318,0.0
13,57.33870632,59.61428198,0.0
14,80.466756,91.0601479,1.0
15,68.56852179,85.6943071,0.0
16,42.17545454,78.944786,0.0
17,75.57770201,90.524539,0.0
18,78.73542435,96.74742717,1.0
19,52.44800399,60.86950526,0.0
20,94.19433113,77.25910509,1.0
21,90.54855097,87.60879176,1.0
22,55.58216114,35.67070347,0.0
23,74.59269242,84.94513685,0.0
24,89.94580671,45.45828361,1.0
25,83.58916274,48.4802858,1.0
26,42.36170081,87.20385094,0.0
27,99.41500881,68.87540947,1.0
28,55.44001756,65.03193801,0.0
29,74.875893,89.6298129,0.0
