population,profit
6.2101,17.692
5.6277,9.2302
8.6186,13.762
7.1032,11.954
5.9598,6.9233
8.4829,11.986
7.5764,4.4483
8.6781,12.1
6.5862,6.6987
5.1546,3.9166
5.8107,3.3522
14.264,15.605
5.834,3.2551
8.5084,7.3258
5.7407,0.81618
5.4794,3.6129
6.4654,5.4048
5.2301,0.66077
6.5296,3.7518
7.1708,5.4893
6.2891,3.2386
20.37,21.867
5.5901,4.363
6.4261,5.2875
5.6649,3.1825
19.045,22.738
12.928,13.601
11.057,7.1467
13.276,14.792
22.303,24.247
5.3524,-1.12
6.6894,6.0966
9.3482,12.234
5.9918,1.9495
8.3111,6.6426
8.0334,4.6623
8.1959,4.2164
5.7063,3.4928
12.936,10.217
6.4534,5.5974
5.5069,0.65657
6.9825,4.0115
11.808,5.4854
5.8737,2.5406
7.9247,6.8318
7.1931,1.1463
5.1702,5.2337
5.9014,1.944
11.8,8.1043
5.6416,1.1179
7.6402,6.8504
5.4077,1.9396
7.5239,4.3885
7.7031,5.0981
6.4328,1.5233
6.4589,-1.3211
6.3742,2.5756
5.7397,4.7042
9.4102,4.0624
9.5536,5.5141
8.9254,5.2694
5.2793,-0.64279
21.379,18.029
15.008,12.154
19.059,17.154
7.3182,4.9852
8.3951,5.8442
10.336,7.8754
5.5994,1.1173
20.441,21.092
10.236,6.7799
7.4345,4.1259
6.1062,1.3784
7.3259,3.4411
5.1269,-2.5807
6.6479,0.39678
7.6386,3.9845
5.1365,5.8014
10.374,6.8526
5.2077,2.1576
5.8292,0.57953
5.2884,0.30421
6.4557,0.77861
9.8687,7.6435
6.6159,5.4436
8.6172,4.3415
9.2802,6.8981
6.102,1.02695
5.6204,0.252
5.1594,2.9214
5.8077,1.9451
7.7366,4.3959
5.9707,7.3029
5.4054,2.0869
8.3934,0.24454
13.494,9.1551
5.5369,0.71705
